Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Memo
CREDIT,12/24/2021,INTEREST PAYMENT,0.01,MISC_CREDIT,,,
DEBIT,12/13/2021,12/13 Mobile Text Transfer to CHK XXXX6069 12/13,-250,ACCT_XFER,,,
CREDIT,11/26/2021,INTEREST PAYMENT,0.02,MISC_CREDIT,,,
CREDIT,10/27/2021,INTEREST PAYMENT,0.02,MISC_CREDIT,,,
CREDIT,09/27/2021,INTEREST PAYMENT,0.03,MISC_CREDIT,,,
CREDIT,08/25/2021,INTEREST PAYMENT,0.02,MISC_CREDIT,,,
CREDIT,07/27/2021,INTEREST PAYMENT,0.03,MISC_CREDIT,,,
CREDIT,06/24/2021,INTEREST PAYMENT,0.03,MISC_CREDIT,,,
CREDIT,05/26/2021,INTEREST PAYMENT,0.09,MISC_CREDIT,,,
CREDIT,04/26/2021,INTEREST PAYMENT,0.26,MISC_CREDIT,,,
CREDIT,03/24/2021,INTEREST PAYMENT,0.22,MISC_CREDIT,,,
CREDIT,02/25/2021,INTEREST PAYMENT,0.25,MISC_CREDIT,,,
CREDIT,01/28/2021,INTEREST PAYMENT,0.18,MISC_CREDIT,,,
CREDIT,12/24/2020,INTEREST PAYMENT,0.12,MISC_CREDIT,,,
CREDIT,11/27/2020,INTEREST PAYMENT,0.12,MISC_CREDIT,,,
CREDIT,10/27/2020,INTEREST PAYMENT,0.13,MISC_CREDIT,,,
CREDIT,09/25/2020,INTEREST PAYMENT,0.13,MISC_CREDIT,,,
CREDIT,08/26/2020,INTEREST PAYMENT,0.15,MISC_CREDIT,,,
CREDIT,07/24/2020,INTEREST PAYMENT,0.16,MISC_CREDIT,,,
CREDIT,06/24/2020,INTEREST PAYMENT,0.16,MISC_CREDIT,,,
CREDIT,05/27/2020,INTEREST PAYMENT,0.19,MISC_CREDIT,,,
CREDIT,04/24/2020,INTEREST PAYMENT,0.24,MISC_CREDIT,,,
CREDIT,03/25/2020,INTEREST PAYMENT,0.45,MISC_CREDIT,,,
CREDIT,02/27/2020,INTEREST PAYMENT,1.38,MISC_CREDIT,,,
CREDIT,01/28/2020,INTEREST PAYMENT,0.3,MISC_CREDIT,,,
